All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50,Real 51,Real 52,Real 53,Real 54,Real 55,Real 56,Real 57,Real 58,Real 59,Real 60,Real 61,Real 62,Real 63,Real 64,Real 65,Real 66,Real 67,Real 68,Real 69,Real 70,Real 71,Real 72,Real 73,Real 74,Real 75,Real 76,Real 77,Real 78,Real 79,Real 80,Real 81,Real 82,Real 83,Real 84,Real 85,Real 86,Real 87,Real 88,Real 89,Real 90,Real 91,Real 92,Real 93,Real 94,Real 95,Real 96,Real 97,Real 98,Real 99,Real 100,Real 101,Real 102,Real 103,Real 104,Real 105,Real 106,Real 107,Real 108,Real 109,Real 110,Real 111,Real 112,Real 113,Real 114,Real 115,Real 116,Real 117,Real 118,Real 119,Real 120,Real 121,Real 122,Real 123,Real 124,Real 125,Real 126,Real 127,Real 128,Real 129,Real 130,Real 131,Real 132,Real 133,Real 134,Real 135,Real 136,Real 137,Real 138,Real 139,Real 140,Real 141,Real 142,Real 143,Real 144,Real 145,Real 146,Real 147,Real 148,Real 149,Real 150,Real 151,Real 152,Real 153,Real 154,Real 155,Real 156,Real 157,Real 158,Real 159,Real 160,Real 161,Real 162,Real 163,Real 164,Real 165,Real 166,Real 167,Real 168,Real 169,Real 170,Real 171,Real 172,Real 173,Real 174,Real 175,Real 176,Real 177,Real 178,Real 179,Real 180,Real 181,Real 182,Real 183,Real 184,Real 185,Real 186,Real 187,Real 188,Real 189,Real 190,Real 191,Real 192,Real 193,Real 194,Real 195,Real 196,Real 197,Real 198,Real 199,Real 200
1,308007.340461894,234667.732599425,259704.338866302,228202.918318321,303257.202903504,245277.637356753,277191.693502345,268877.775711163,254222.781985136,303457.054884134,251609.961575154,276511.040201124,241883.482004414,250742.496981942,299757.470542039,219872.000218233,255840.440515023,233044.570507179,255146.013497963,267631.267735338,246374.932439458,267330.877222744,281413.647901622,214232.911904354,308462.637444245,219420.088441713,231652.982138642,316754.962427896,208775.26432384,277514.440818391,245057.152440237,308733.470681106,267874.339459908,232638.80964924,334438.554870807,304354.310810675,205544.552946945,226130.738934836,293799.634758388,212050.301170844,267478.070994258,245654.861283669,225919.907743616,280503.562926526,228450.759591923,240580.098635071,300764.833579322,284248.543568863,298600.878547429,296949.295169848,208568.862300796,150530.068955845,275931.144304909,260415.581345629,316231.413698844,204182.190456703,251987.327509882,230722.160558267,241352.362981581,266628.889712197,169014.368752258,280762.168433552,208733.025574231,307514.425574505,267130.438026153,226078.182291556,298652.444551345,255043.999259971,267411.633199546,260115.930054356,175977.906997069,247009.965180204,185767.63545096,314762.16214415,274931.178577119,275870.898066827,282722.769980098,301106.958077985,252382.192558081,287311.857392259,286977.964739923,201643.716065373,198303.843646311,263093.059425268,274450.758257089,280112.51649805,181152.248133306,300660.311558358,261660.596845131,280124.873069884,256149.444339171,163436.497153044,220394.098938613,283441.172234514,266401.021767594,202518.876235197,428377.028393734,243854.080966976,233402.579804286,280546.614587771,286080.673133037,260376.136861652,212464.907140213,205503.732870767,292440.304491625,241570.605045373,215358.443768118,252868.186557088,302314.788823776,260854.824855945,312882.775300787,251960.602524814,267689.293854271,196453.703313412,274275.921112315,277974.813773147,188831.062575571,220925.159763649,343315.826107748,235580.079711339,278608.924814681,263195.405685063,156701.881067938,263957.738781236,176748.144215386,224105.734995639,237857.12969612,217483.342957218,255583.936544129,218745.043398176,261986.691471855,238920.258765029,233184.417771963,261314.169408199,230959.27548379,246432.398000073,283945.369444515,266726.101051479,192437.753370078,291052.941092064,257045.299865911,268484.077679549,284465.772402167,182374.439334167,223011.753284653,357549.044150964,286028.65135009,256816.743136299,287995.532423854,294029.59562072,217969.845649696,262848.429073354,307304.023969267,261541.717963705,284810.67788202,269957.045377957,284442.70656116,219539.469103771,202934.12337779,148705.012276205,300244.107825562,320986.596367386,298326.225792074,274675.003966654,240950.824987392,322153.289135566,261146.486065621,243931.156660646,210672.44202891,287864.55819269,241389.295516692,266099.356780014,282815.806105533,275514.598206773,250267.865268991,182802.006830599,265621.57777945,238200.533550337,267511.568826488,267401.081679747,293472.95995778,327428.410551319,247470.482538272,250954.95675105,189914.73622768,286771.357901676,279083.35083082,291807.463768745,238186.694197744,273300.244360817,328751.103653891,238075.760674058,294433.579682379,321477.758280833,233031.543575114,194602.231700091,267947.957415305,298645.335797079,230623.558174564,260230.855334736
2,501291.611234628,497347.525280918,497155.215014731,855748.226338387,524103.508367922,491470.309740433,537438.626269674,494816.96851818,495437.996196404,781966.09453251,675363.153043384,652170.267321862,822603.426175829,472896.106900243,481252.248458748,510479.339276905,705767.480830988,552876.960772594,837984.078549867,472087.694534993,768486.943283149,458356.150202378,747210.184062113,755021.803342323,506841.374124674,508049.924370467,822563.171818213,438546.388168793,487560.65199416,545235.690538229,468577.311406703,382360.43957296,524745.462667693,488771.819094876,461374.715626939,533823.174671834,469509.110433746,431114.760273169,501487.331282623,758781.85490461,448985.952081412,753436.581910682,819064.409388956,448341.40539828,558118.281886518,722633.763075579,484296.168675327,870483.773958798,487190.462028849,601486.362147123,1131058.44442008,477401.380503583,528831.063128763,716918.38651229,716959.848432161,824366.680127943,466428.815468966,500078.359467464,496654.399768552,474269.073284685,491950.753294899,795132.503892282,516671.405457505,779782.262875106,464674.76671001,479192.377272879,497634.941917323,611375.220090406,522576.839901479,459276.968503504,748446.200315924,485158.81856075,710748.707319697,425573.899075429,480625.505964219,509292.807156303,515177.164917596,399755.109798625,450153.034558223,398023.116200291,499802.417370492,457735.834924369,773635.927480052,522265.004794134,499394.419753495,479901.203094205,529686.2864125,487941.478128093,492614.305635371,398075.526924931,725826.709015991,509153.134707127,499606.721014297,438412.415816245,454243.924653137,485657.227303437,517037.659052568,494826.016467865,624605.250011791,563776.536871627,472511.048844068,463905.428795798,492002.817735264,546711.460350081,454912.932083667,484198.762537158,697383.232663115,846586.70593638,477175.918436534,487404.984506242,493672.089496998,505320.249230896,534083.266251976,476623.229822857,486924.044309776,588943.16772861,462848.773633976,462279.58980052,719125.959224289,496994.25821262,430592.485768253,383561.917276717,816551.653776318,461878.635899122,428179.685275847,477519.837971056,499102.351922164,461773.876593202,465313.835381944,467831.609952102,502364.239257649,474185.579112815,472568.638248719,531558.458676921,487938.891197471,768881.40454795,455826.184658322,498172.959902753,412200.619909486,463349.008271316,500995.746573238,459296.465007726,487200.14372568,882827.750401232,462539.573404653,551812.305977004,502137.465924297,487003.663941234,753608.362158311,504887.172837114,431664.798735953,775884.270910039,741837.085679405,480520.344611643,711895.840461947,496555.692787628,484663.99186301,430319.913166901,543819.724345639,470760.855893995,504090.393336496,465043.863339983,822074.525139257,792348.737070792,531881.904987849,456798.045087935,479721.522352754,1013738.14275937,529566.232253538,495022.312327089,715677.06169295,513692.517322617,554161.528774257,854527.430833494,499090.36463155,829791.478355028,433645.383652802,469675.79224514,517183.59134807,760980.45706942,496285.379260826,485450.030315001,528328.54446337,498013.76461212,658698.245966427,494357.79542254,876830.505254155,692804.255813519,517214.055941511,425287.99601463,424537.675286462,440551.734044922,751308.517279314,507385.320314056,414499.382760444,710500.224431867,503456.364188708,504288.847621761,769720.413572138,469601.521281156
3,748811.519202695,936363.336800793,961038.656947528,1638048.20231321,941753.305570776,1025149.18848337,720520.465549506,541365.711634549,882955.01628028,811189.19320085,1003704.81750185,952140.945416227,1112829.45027858,865329.937726199,1330108.13521083,981793.204207821,776458.116889871,1331888.42765399,1096251.21669597,912078.969038444,963300.249120723,862607.4675693,870021.414296068,824862.278318729,942789.768217212,1284484.15124442,741342.684855379,752591.920839311,579687.248613967,1397090.22994948,673028.859601929,761404.399846476,805701.966108739,1109345.66452526,825769.439581979,1236658.30465471,902827.513074567,1014600.04726729,893305.806996746,573308.755756795,1002983.28153338,760897.04923066,873016.781343923,699887.916437294,891540.074873229,875761.220136974,930513.619136552,896731.901353732,920575.94305406,744568.97414537,521748.430780389,1142813.64877233,955814.472102766,909666.216808364,1047729.15346252,823308.943764453,1121397.65146162,967946.447766717,1232245.61229798,1009706.66236863,829026.72204232,914792.209725223,1218948.41777443,1147903.36798322,1060936.8678842,790532.671552139,865887.543673745,949082.344647909,726577.950261566,1078226.55741093,1008454.07736533,807657.695867729,847292.498712013,1099499.28121819,814397.480528319,1059341.23242817,835332.171416593,559263.408256654,903104.397035474,652815.652420757,1082389.69562475,1083212.52095395,1482164.89852484,988039.175988165,854236.498174633,1033402.29748988,955935.666235097,666290.267613674,595355.854856763,980706.148331476,891031.623323573,1044604.51201141,868931.720754047,1064327.54350563,1213601.15408237,1076166.0079529,993770.555802985,1167353.29515169,785523.298199563,791030.7626659,1099676.78957615,988993.094540164,852812.669838198,919380.809842556,1010871.34707126,1183602.39596374,1059232.220831,1164512.55820285,683687.721631831,1025754.94540611,993323.899244414,886487.843202933,1029067.75028713,727042.084924762,989078.610603642,900268.71493761,1181238.87901381,927893.701765179,1246844.28011729,902063.466065612,737870.957478739,845611.299418804,1066245.07967566,991541.171132898,641752.337763541,890950.828255891,621603.803929307,701951.216400135,901476.804759839,904703.951043155,1255667.89108717,710244.248178702,1042434.30877184,711146.269237786,1098384.98760148,659185.108730532,589519.518233592,636004.790151655,824433.960076365,1186053.32189829,619624.96383657,597525.873962255,500827.302724186,645448.028937632,1003362.84342096,609390.417666219,744735.984337232,897340.154978409,1169944.66345222,584400.319941709,530131.970963278,639536.119505284,863692.784012765,907259.508478927,729350.897467862,577589.86536022,1173347.62301967,624994.849210056,1058544.95583828,1028242.42270885,982694.746293716,670789.41835618,983961.010979154,880646.504472162,1168083.86979767,595296.37726714,899704.312890912,851427.092358688,551152.866182433,738263.302673786,683219.875751435,1052217.71201937,789055.296507801,569582.106078158,632421.03660806,686086.212476881,727021.460490739,1155934.21419225,747166.773857505,1171362.23923448,779447.081923204,722224.777095751,995755.1918769,918831.287196135,740165.693409397,717383.250363557,1101014.67692008,988182.449434044,980727.064111569,722907.654229878,811459.800819353,600595.141196123,840920.294599875,834072.777591355,1001143.3273953,615197.060439384,958219.511594828,713852.914308617,891403.851167056,1178754.62950336
4,1243598.77421048,20000000,851388.578378219,1623895.0635681,1092580.44289591,974833.957366491,1172215.52290381,1203668.9832795,594784.027528053,1842468.65148534,1562998.07582264,1910058.29292424,1807779.25199607,1668421.48268946,1311022.95281064,1513066.3647569,1445345.58632441,615475.921391069,1160941.31517643,1288743.10581633,1217206.88696662,835470.500074517,1377532.55104128,1054595.65551602,955390.814685554,1225037.91848877,1177290.18615974,1154845.35223657,961620.986433733,1316124.94335689,1732041.22175271,736168.590633973,1239553.73988859,1538498.13018307,1497554.18714964,962364.397150039,2140610.32327935,1013756.27559739,1201511.52076094,1365327.1586026,1536759.0682793,1382284.84902001,1569639.10110917,1372853.41721999,1730206.34667365,1199283.70188253,1405837.1246875,877139.774001604,1246599.55162693,1321132.18337592,1523976.78666928,1344104.10066799,968638.688515759,1258125.51760607,1505668.68875436,2015244.48187275,1409127.84672041,1536669.76967156,2130441.9786579,1311890.15255407,774966.735840967,960183.118961757,1124520.44868688,1972721.13936281,1326443.42832834,1364360.98724997,1905975.88844462,1507495.04105884,2056566.28628293,930064.416949201,1811875.07397349,1400825.28949571,1381703.87367493,1192302.6326202,976896.399535682,2147705.69043088,1157676.63362421,1840070.35099721,1577947.10389185,1722136.37018216,1411757.04477524,1533115.90757016,2253163.03964649,1785547.76185988,1199169.21385247,1316542.19394763,879689.489723568,1289864.87768246,935556.196545499,2000033.04757623,1494459.42311293,1140578.8301023,1138763.27671581,1540055.83094746,904029.304565066,2136489.18533946,1787250.67125913,1552654.21146684,1421789.42227296,1624882.14227114,1234493.36879896,1207084.53280472,1175681.18938113,1300134.77051172,650483.098050719,1228218.84757742,1376724.10817712,1025539.41128644,1839597.36719292,1468159.77033162,1420239.25656905,1315632.20573847,1531660.24201448,917733.957510307,1556841.8737997,1067071.68903967,1323888.01048692,1125752.56699277,1515733.67975698,1862725.1417051,1229862.07114393,1133609.07477949,1362266.92725074,1324516.88296219,1269367.27982829,1181541.58663019,927059.276631992,1221076.85930645,1832537.7454682,1349735.55850936,1866793.37758784,1574679.33115636,1831130.22104224,1398757.60134193,825725.7064011,1334249.22221726,940108.641095129,1372238.9243226,1427234.76039325,1281165.20345463,1446904.03569822,2592830.89874251,842980.534387732,1294294.87039473,982452.667064955,1052062.5361396,1483654.51380688,1326859.55900713,968304.189065558,972524.441165739,1151957.64111229,1827455.95976877,1625029.13864067,1275991.09027034,1713380.65659344,1664694.56979628,1240836.74708583,697861.96472512,1495687.95960743,1033531.56815457,1138361.77951456,696830.860393982,1398488.72795299,1430383.42667443,1867099.64637272,1362753.27125896,1078663.55069724,650151.429689067,1453732.05743857,1374210.56216239,1476441.28196713,1275470.95484632,1597631.47521388,20000000,1671496.1954802,1113640.11881664,1814939.50251717,773859.572729966,745673.391475857,2185089.63129235,1262507.47689136,775895.739790793,1615308.13049132,1677349.68183658,1976556.2413714,770795.181057973,1017506.7270712,1634736.85182703,1619368.43095328,1176260.78091327,1110083.88774764,1084886.41672213,697624.162945171,1068832.25421039,1171462.12791052,2167186.44264871,959533.239451352,1528887.22410385,1298763.1056609,1131205.71942926
5,1880701.6154982,1796495.28527488,1997018.44419585,1995603.85538923,2367563.63660041,2382387.61170515,1272988.59466041,2004405.52832165,1536614.69992336,2185124.24132026,1233926.81142467,1677433.89324752,1282040.13766029,1233837.39610296,2328243.72026066,1500181.86450842,1543987.80806165,2691088.82558531,1976412.71261881,2029676.60385161,2045708.89999119,1727343.98130503,2435212.96985362,2272855.76877754,1295099.74032238,1907807.78572605,3021081.47862711,1694919.59050544,1235679.83892503,2415411.84055299,2642669.70250386,1898920.88523647,2352152.27321331,2517471.37138295,2987150.09123247,1748375.7106227,3525008.57322768,2024011.81610453,2171332.96834486,1916966.98303667,1999352.10969639,1496667.07296821,1262683.10663408,3642147.52328769,2269829.56495227,1853989.75158006,1683089.35944822,1804145.62750023,20000000,2106538.9430139,1902092.43203458,1766028.5397784,2412303.30825308,2117931.94003508,1342147.63095336,1365855.28820954,1829456.47457582,2185895.92059814,2022727.0392332,1877759.81358795,1475858.12345376,2026072.60375828,2327666.57291899,1202111.43772031,1390509.6494678,2083619.20518127,1178959.30166797,20000000,2266894.80165699,1781363.46522351,2353355.09127775,2485285.2131703,1655386.5680889,2288869.09191609,1048259.32190865,2891027.69111422,2262224.21101442,2117554.37155985,1730685.23195998,1979831.11491444,958665.219391773,2629443.36659822,2330330.98374816,20000000,20000000,2193587.16748545,2196744.71573472,1247122.49693061,1885778.48544325,2373518.24244651,1348054.535126,1135053.44701846,2544648.3484135,2013489.0491844,1805608.98423784,1137621.01088096,2069820.23610188,2949128.21248114,1956717.66471922,2446814.34519654,2119899.66442388,2697095.28494222,2093692.60488585,2455930.78790292,1595162.71609913,2198351.06899981,1714380.5004088,2413761.13314485,1893321.45894484,1681764.74558126,1341996.03924513,1495570.62156606,2480038.186696,1447426.470335,1011114.19591618,1358640.84226912,1474471.32344297,1362643.27974302,1929765.86489801,2042829.57046695,1747691.72442118,1858272.69316196,1664075.07304411,1543463.86239136,1355230.1853779,2700421.87628351,1719691.08583576,1768191.52828414,1596901.77678121,20000000,1561099.56720038,1472513.38066857,1258105.70279697,1566830.59719985,1634495.8894841,1452517.6576625,2430147.38226946,1888366.90494986,2231136.57657894,1982993.87549387,1699070.75394554,2960986.52730096,2731179.96013381,1524733.19994995,1602841.38027981,2056421.97124893,1921502.42223707,20000000,1599360.28107781,1407536.30887059,2856489.09514675,1243789.26452287,1528431.89825977,1267509.55650483,2227965.04023777,2326375.82573813,1622837.80445081,1718052.52863191,1323558.54161187,2201952.51406013,2467249.90125039,20000000,1899729.07269427,1656411.68113664,2859305.65168753,1092669.34418541,2326441.25062634,1412767.26796536,1334577.82284771,2621054.94049572,2167970.87954918,1181576.51728855,2278935.15879439,1703490.29178115,1973527.52856036,1412639.66681815,700462.927146936,1632201.47823325,1827852.55456494,1866131.9231479,1272128.70413214,1490131.48700861,1739839.5104548,2089988.59252116,1751080.04130959,1310464.98059011,1650834.88659289,20000000,20000000,1833988.26982442,1123215.76960584,20000000,2303517.65757735,2243017.92844325,1707549.43845458,2888546.64801966,1731808.25729286,1623284.03518906,1536795.89240171,1267271.4980076
6,1620564.24696837,1663510.48352474,2535379.77621246,3510616.77942064,3196751.65537702,2197201.81317706,2425856.71514149,1725237.44767258,3040484.38345022,2229454.98528839,2057972.16868696,2799500.18126712,2836281.3361059,3239529.15006438,1666124.52965614,1697389.12494093,2350025.41098189,1895149.67996445,2048264.04962143,1319863.97044878,2523291.57955133,2632450.3212509,2105054.57357265,20000000,1696939.90874657,20000000,3061119.7115467,20000000,2709701.20662369,2328345.79551339,20000000,3096326.86567039,2019761.6195326,20000000,2405137.07932957,2429908.88872025,1993135.8595863,1822135.67128205,2569900.95509205,2948597.95386593,2064916.36094013,1826234.86695666,1725549.97432316,2360743.10349178,2125983.06331706,1851975.5852006,1664109.13275325,1577087.54955247,2386186.40335452,1989957.2664557,3161348.93616315,2094415.53944733,1698799.54879806,20000000,3381919.92909397,2982294.51595908,1917490.471759,1979108.32147546,2771516.08794072,2010646.52404453,20000000,20000000,2951002.21667133,3169625.5314378,2030854.27895792,2082193.50315501,2211779.10000807,2356803.45670874,887584.882688159,2048126.05216852,3858441.91183483,2123268.75816426,3247664.33484114,2442691.73942132,1899638.36546431,20000000,3060015.42436943,3365452.43418502,2566123.64405197,2776698.25064341,2530961.11535654,2539158.19512281,1851891.98655932,2278158.37701549,2592826.06949897,2250812.55579531,2372172.53156912,3042399.64692899,20000000,1966656.87535957,1356973.94382514,20000000,2135981.37164158,20000000,2706552.3243731,2216150.65505793,2166254.0568137,2996587.34718122,2420754.8476745,2213813.74996901,1809273.02690566,2789189.27619807,1736599.91650076,20000000,2095494.15891672,3400958.98084491,20000000,2502546.013406,20000000,1989552.28591163,2527377.04803414,2082460.66014064,1496790.57599338,20000000,1575807.74077256,2160655.2776366,3095128.53884465,2280228.53428857,2484612.2941057,1700151.49213115,2206051.62234881,1379854.34816208,2412097.93161545,20000000,20000000,3775028.10309858,20000000,2095383.59945985,1832941.33330061,1522072.22526614,20000000,2490299.36399712,2075645.48770863,2208137.51697248,2647556.86654761,2638011.38598499,1719685.87520098,1964330.44477987,2099536.56138178,1923682.61542476,2126751.76105788,1941636.5683824,2255161.8180395,3288775.52581414,2800910.74009463,3404653.14318285,20000000,2040589.65825484,3193982.12816044,2030554.84081432,1857031.84840415,2419716.11083669,2738159.6888906,1406497.61449043,20000000,20000000,2323807.21450328,1839534.44774114,2100020.20739818,2167836.72837325,2459906.57684152,2112713.94342403,20000000,2267197.47748042,2755067.15290736,1842131.17906547,3580961.92879253,2812732.26514161,20000000,2257750.44151975,2830617.54465497,2508841.72436099,2980325.1937169,1712725.42136104,20000000,20000000,2944939.60795957,20000000,1265415.43694543,20000000,3422360.19216277,2112076.81674384,2614527.80594321,20000000,20000000,2121828.47094463,20000000,2538709.56988984,20000000,2010343.71038281,2995657.38384202,2977185.7729275,2327072.43791834,2131149.50400405,2087534.49186378,2085098.25782867,1370685.89846635,2326085.13436345,1807204.68668949,2963414.00489835
7,20000000,2285134.99675636,20000000,20000000,2916075.88107373,1795710.67194866,2071700.35192071,20000000,3558988.27797262,3478035.05335589,2682655.10666789,3274152.97573382,3621169.53848768,2334477.56182218,3623840.06082282,3590048.56701342,3208352.64779877,20000000,20000000,20000000,20000000,3056192.93178812,2750214.35770715,20000000,2254417.13015712,2504444.02282135,20000000,1712844.98293141,20000000,2242017.9215509,3442590.29809831,2290734.66383393,3149935.88172223,2195264.27488881,3482845.15481017,2146281.42446053,2715248.39248606,3222271.74794101,3342797.07121363,2421279.95507157,20000000,20000000,2809600.7082092,2995453.92559693,2944586.26333723,2578519.2309193,1768069.22981052,2396161.34906566,20000000,2028926.81489498,3568398.30089286,20000000,20000000,2831947.14163449,3425210.34343958,2901009.26789424,2631235.67486179,20000000,2465268.07262917,2585146.97445493,1875527.27692722,20000000,2305045.12945474,2208319.04579765,3444963.81021454,20000000,1393583.72165784,2734505.63717132,2481959.47806455,20000000,20000000,20000000,2883232.1325369,20000000,2307883.44260418,3549965.82435488,1130736.15087158,20000000,20000000,3611194.25955974,20000000,2684234.50427271,20000000,20000000,3037274.34424637,1336079.04691006,3294220.47882914,2129039.81493987,20000000,20000000,2576104.85746115,2521414.25648601,3455130.70670172,2456831.89424169,2695731.99491254,2487482.03301461,20000000,3102259.91979364,20000000,2651265.63798296,2441386.32176232,20000000,3325815.15498696,3407749.89330541,3617251.46176558,3409600.25288952,1974720.99437845,2789729.04253656,2971464.25909834,2062030.80732046,1668744.1106315,2636443.78149502,20000000,20000000,20000000,2937896.93643682,2852763.63628469,3396592.87709234,3362787.15383604,3535229.42158883,2516710.01120129,3590596.28442058,3330998.32417867,1917521.18840145,20000000,2203449.22017338,2437851.54866879,2361795.98279502,2034079.45634682,20000000,3242943.97148945,2686286.13097687,20000000,2283639.16171073,2723294.26416649,3410191.92639614,20000000,3230440.35748708,20000000,2810403.67056369,2496529.40595657,20000000,3095397.58012348,2605045.41953323,20000000,2720338.70958666,2955074.43296932,20000000,20000000,3369481.81170861,20000000,20000000,3358133.81603747,1663071.94916398,20000000,20000000,2405377.50751244,2482864.1746522,3686630.02479019,20000000,20000000,20000000,1943183.07186756,2073020.51478863,1915657.44696874,20000000,2569632.95946418,3053191.42862503,2942703.33449177,2241825.70257999,3964594.50801694,20000000,20000000,3617648.86821344,3271357.85384996,2115221.90787591,2354000.530183,2081490.15215167,2103789.79251558,2263163.15491795,2720537.88208548,3144714.29365051,20000000,2578601.85895213,1684367.59462756,20000000,3525200.68253535,20000000,3387490.32611844,2988447.60303354,2528902.8785596,20000000,3175769.70011113,2602372.29124705,3091569.22522528,1766334.50157708,2918830.11049494,2879130.8360058,2488187.04183403,2321152.98048109
8,2073450.61676782,3125507.31766696,2818720.92414556,3294375.21932856,2855451.22078486,20000000,20000000,20000000,20000000,20000000,2969428.23513499,20000000,2714209.78634441,20000000,2827066.18212515,20000000,20000000,3841796.68992497,20000000,20000000,20000000,3501362.60065068,20000000,3441089.21891223,2545587.91653746,20000000,20000000,3125180.13989532,3491089.9968163,3077342.12739598,20000000,3850922.48388649,3005086.02947245,3774683.5756634,2424136.96012684,2573947.82434712,20000000,3180455.71326925,20000000,3263020.74415277,20000000,20000000,3367476.27102549,20000000,20000000,2700702.82472966,2628835.89010541,20000000,2433951.19943196,3090441.00066629,20000000,20000000,2160501.41851014,20000000,20000000,20000000,20000000,20000000,20000000,3669250.98283034,20000000,3267909.75941215,20000000,3534549.80489567,3149484.72880659,3297690.93658575,20000000,3333831.2321154,20000000,20000000,2536111.46164742,20000000,2583807.46908336,20000000,20000000,2970974.25991587,20000000,4091226.65916016,20000000,1974908.44226258,20000000,20000000,20000000,20000000,20000000,2890756.92948231,20000000,3363482.55414019,20000000,3358392.13183409,20000000,4016284.21702827,2753818.78505458,20000000,20000000,20000000,2108135.03719946,20000000,20000000,20000000,20000000,20000000,20000000,2622795.18935116,20000000,20000000,20000000,20000000,20000000,2753174.8061339,20000000,3483691.20805898,2072420.90794875,20000000,20000000,2930045.68703779,20000000,1998847.45090643,3339969.92925286,20000000,3661962.83997565,3578079.03553628,20000000,2454048.92927362,2346596.83857127,3280586.66274801,2709126.26120264,20000000,3483840.80356492,3928199.88505654,2433159.28933887,3610595.25544575,3045302.29949085,2896246.67682575,20000000,2891995.65686401,2409691.49425755,3329298.94188276,3079838.01102745,20000000,3615764.19034507,20000000,1487970.88449876,3211808.13656172,2793669.18586193,2879858.74540967,3480346.39716094,3346571.68073043,20000000,1915143.67712646,20000000,2619487.80848541,20000000,20000000,3232388.6318721,3522545.43940156,3603190.88896814,3038228.16770608,2726689.29691089,3262702.98169108,3179077.91779451,20000000,20000000,20000000,20000000,3577023.23404155,2949716.90296893,20000000,2080472.95673973,20000000,20000000,20000000,20000000,20000000,2127125.32076772,3149732.64302776,20000000,3280630.31929088,3894047.55477078,20000000,20000000,3425802.67180939,3540731.84017558,3062505.73110567,20000000,2587138.74420248,1804873.79879187,3512517.66124496,3194104.79511496,20000000,3201939.40546355,2823216.3550955,20000000,20000000,1801978.8923248,2768592.35008739,20000000,20000000,20000000,2204433.33270225
