Serial Time All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50,Real 51,Real 52,Real 53,Real 54,Real 55,Real 56,Real 57,Real 58,Real 59,Real 60,Real 61,Real 62,Real 63,Real 64,Real 65,Real 66,Real 67,Real 68,Real 69,Real 70,Real 71,Real 72,Real 73,Real 74,Real 75,Real 76,Real 77,Real 78,Real 79,Real 80,Real 81,Real 82,Real 83,Real 84,Real 85,Real 86,Real 87,Real 88,Real 89,Real 90,Real 91,Real 92,Real 93,Real 94,Real 95,Real 96,Real 97,Real 98,Real 99,Real 100,Real 101,Real 102,Real 103,Real 104,Real 105,Real 106,Real 107,Real 108,Real 109,Real 110,Real 111,Real 112,Real 113,Real 114,Real 115,Real 116,Real 117,Real 118,Real 119,Real 120,Real 121,Real 122,Real 123,Real 124,Real 125,Real 126,Real 127,Real 128,Real 129,Real 130,Real 131,Real 132,Real 133,Real 134,Real 135,Real 136,Real 137,Real 138,Real 139,Real 140,Real 141,Real 142,Real 143,Real 144,Real 145,Real 146,Real 147,Real 148,Real 149,Real 150,Real 151,Real 152,Real 153,Real 154,Real 155,Real 156,Real 157,Real 158,Real 159,Real 160,Real 161,Real 162,Real 163,Real 164,Real 165,Real 166,Real 167,Real 168,Real 169,Real 170,Real 171,Real 172,Real 173,Real 174,Real 175,Real 176,Real 177,Real 178,Real 179,Real 180,Real 181,Real 182,Real 183,Real 184,Real 185,Real 186,Real 187,Real 188,Real 189,Real 190,Real 191,Real 192,Real 193,Real 194,Real 195,Real 196,Real 197,Real 198,Real 199,Real 200
1,6.33189711780266,4.28655475294444,5.61624406746969,4.84243500123758,6.3194910709123,4.71377572928634,5.47778348872052,5.18969622363469,5.27465507915517,5.73649239775463,5.26038765826213,5.60924941861391,4.40111395221716,4.66341467050428,5.83704497455067,4.53749026643554,4.79517589665042,4.68705809933606,5.67522257458006,5.25702051414459,4.66112355845296,5.51275160648219,5.53711187214451,3.87609062132469,6.70948665870516,4.97481605219693,4.895950346146,6.09759224901499,4.24698960741828,5.51047321374218,4.79204764278719,5.65514137374965,5.53259767520128,4.79052393426301,6.50135396761234,6.41939827173204,4.75178682141496,4.15006648410515,5.5162550485238,4.15760064915862,5.31480577952591,4.72165442635287,4.50641143150804,5.60076121531647,4.63594830619072,4.65458935421284,6.282120367037,6.16884939564646,6.70232809729659,6.51351533091178,4.27808915157804,3.33117052773592,6.08743664319162,5.47296689776467,6.05857757499813,4.4106878811755,5.17326773411784,5.00309048784475,4.95351916721054,4.89144500565737,3.75267742984478,6.07343387225205,4.04223563281358,5.67352514742366,5.47956794057682,5.49492317284086,5.61000773398488,4.62438968813309,4.95961401274033,5.18198051563765,3.73131629219446,5.07430625804087,4.05420589527169,6.23483966175483,4.64819999774285,5.26672919592672,5.917464696183,6.25778169933949,5.36787192888167,6.27034230526765,5.86018326429399,4.62623340954221,4.92897941664235,5.13820515094764,5.27010109323672,4.74371313200965,3.73312136651949,6.72606137999576,5.32595970174414,5.25646860725646,5.17896452137821,3.12910089691089,5.00629280559456,6.40046416895097,5.6943106581994,4.69745026497737,5.23407809166621,4.20835315856976,4.80385798808571,5.59065269640672,6.52239000951449,5.37987602179661,3.76475657068753,4.29862114144148,6.40727537089832,4.99348377804158,4.18780014375997,4.95003219321249,6.25092858323358,5.88826377472849,6.24780979770684,5.07768615198429,5.84322870826176,3.45223694627686,5.54883590113451,5.60348420568895,4.07028436366953,4.50884196690013,7.90636235198238,4.79354998671291,4.90039175988072,5.82320107431443,3.98261576240507,5.34275189677261,4.01179107449109,5.09423820281817,5.29946262600778,4.34895360680022,5.12790837445991,4.6846938653315,5.24121492814929,4.94873711086045,5.53488070497527,4.58183426374065,4.82326626615436,4.94993400498049,5.54282926619805,5.06261813417938,4.36085584616174,5.77519761813779,5.51056491863419,5.69298304229915,5.6897472401405,3.47238397810065,4.1707278359183,8.06959364602868,5.45062804427432,5.14604333707929,6.36414423922644,5.41584445103192,4.8140133196883,5.46456768288348,6.64835413406803,5.77494063883959,5.75802143128946,4.92102850463835,6.61878206299698,4.45125495135244,4.53764550231179,2.7306033323451,6.17565839382462,6.43567988171369,6.54131817986328,5.15455572808581,5.09731820324364,6.49669377525158,5.82476676234429,5.91936286106188,4.12395020591265,5.20103689984977,4.69363899081888,5.07010360895488,5.57935688134508,5.77130889518278,5.48034334231144,3.6338115500384,4.91031927800118,4.45428193994672,5.48966104330071,5.62200042766422,5.54663095659963,6.47514610411092,5.0295010442258,7.20507628969679,3.27880874230384,5.93931153173011,6.14984084974163,5.4096150233576,4.08060045608492,5.34414039621891,7.36104819119817,4.77892792406744,6.38944433255606,6.16363501112186,4.83966311065086,3.64307871707192,5.54810404078186,6.01820350982168,4.7137717123561,5.23451511721878
2,10.6611589375837,10.5037525570483,9.5296555242939,11.7159523625933,9.45901804382118,10.3506058178654,9.81135345377903,11.1357461802032,9.23059237226303,10.3682675933472,9.42617338833878,10.4275798211285,11.0270613372683,9.28349088383928,9.68245420959781,10.2425770728211,11.243666950608,11.7078409493721,12.7477026819113,9.33096149345926,11.6259097701424,9.16679413327405,10.0278273456559,11.5162373892026,11.3760917450201,9.81881837591425,12.5947867660367,9.42829058455558,9.58267560306855,10.638896387388,9.61795581898766,7.6028414411421,10.6654204306311,10.7989143598131,8.77580632518784,11.2286613778171,8.37709918731328,8.39020736788419,10.1569512743005,11.6515309760918,9.70063376504653,10.3018184602478,12.9150895939655,9.82795995584336,12.1694691948949,11.1870074827762,10.4009038859291,13.9530629360643,10.9441688141356,10.5073714315878,13.0872199758732,8.93724112773947,11.6409251969435,9.30822191640544,11.2146826420049,13.0972607283728,9.26350776123716,9.51540329861434,8.84303239945051,9.46610735056699,8.93425247241164,11.2836205733336,9.03282521636356,13.1430551959169,9.71680090656021,9.84658040982077,10.5925327718326,9.55796125341046,10.526625319001,8.85450055554528,11.0092307478771,9.65388627417604,12.2162230979601,9.40919929460294,10.2679326074816,10.949063437347,10.4914628225952,8.11737313202861,9.47637877779937,7.6827616263219,8.96643518944873,10.1315900484371,13.2418492855158,11.9762238020487,11.088971456356,10.0573443556681,9.73787716228016,9.98830069479587,9.55064647700339,7.32325655493046,12.4227764957813,9.24916100097985,10.592312429704,9.36166380193601,9.70718906611774,10.5362011245536,11.3875181213671,11.4044235039378,13.1737524492806,13.3174465237033,9.04709223557917,9.61922801051544,9.63399456877981,9.73782316761185,9.97438036304796,9.02586767506005,11.0407095132951,11.9166536049556,9.73520877891801,9.35231361648097,9.83237203693435,9.97459496414991,10.2953442437113,10.2154643262675,9.73447402128512,10.585005311409,10.0608261758723,8.50178644884834,10.3068742957133,10.3719178602311,8.22907969541883,7.76390508839998,11.0456415188272,9.73370164432782,8.0188299201863,10.1312187301635,10.0240301464298,9.17218253736089,8.61407365281346,9.43455480143728,10.8989231306399,9.83130833480734,9.52633217420078,10.4274223234937,10.0281943717955,12.6481164049137,8.49763683271404,10.769473881805,7.47887429850696,9.84556608772713,9.72045092059576,8.93810103555985,10.8831942522655,12.9949385076721,10.0768092658932,11.9598779286101,9.67355710118835,9.3271610841862,12.257142242217,8.92540835440675,8.2127688320038,11.5897910817074,13.0423500687362,9.16964573958949,9.67913064025066,10.1983809899585,9.18142859454516,8.80782278142651,9.96896408155861,9.45139483126011,10.9943346453941,8.62193921153009,11.9114961947325,13.0035028139671,9.49339848392891,8.70460238494128,8.9723237970323,13.9641731317491,10.9528849747088,10.5962347832282,12.4884746360103,10.7695082502324,11.4022202193517,11.5034231366429,9.90530079111495,12.4314624462379,8.63492542764677,9.122844100719,10.3940029966558,12.3843739631308,9.46884466554302,9.15949935185159,10.4458750012868,10.0607067342081,9.75184174950828,9.04737325390343,10.9629822358809,13.0643298162132,11.4237347127483,9.28938060517235,8.17386259502594,8.25978980697276,11.3817523506814,8.62617087953822,8.5772839546916,10.690049781936,9.93481132243287,9.71584546806911,11.5414601887627,9.44154226175291
3,15.1402345121656,12.4888068735523,12.7772827439983,27.2362805645355,15.1310424879459,14.66198977107,14.1619244136954,10.6834222355945,15.3172181707207,13.4327150739976,15.9599475560586,14.3311399020247,16.6212682877286,16.5060879719866,17.7556211433141,15.2038334207714,14.5523351215054,20.7301696961901,12.5331402794781,13.2656022565424,12.899114686089,10.9426094345098,15.5227394465991,15.88175346309,15.2277981382389,17.6222061900305,12.1557822615263,10.7739483090965,11.4036953445287,17.9506603791942,12.028369857732,12.8702010804264,14.07291881127,17.3111482413448,15.5508425428368,21.7772311282142,13.1839611288989,14.0193318326599,14.0853178081666,11.4951443243095,14.1279643584947,13.5721896798199,12.9367753138539,13.9251136956819,12.736994428981,14.1974347915954,13.7412872346875,12.6027397958287,13.1876770078912,12.0296855867617,9.45705939746728,16.0943549408634,12.6904182219178,11.4927127968268,16.3123982436294,11.2838873000335,17.2451873786497,14.9007191660098,17.3590339566856,15.3167564883906,15.2186770517763,13.3115889513609,21.8516928069542,16.6643118385855,15.9636691050863,14.1297746847271,15.6698977603817,13.4122192550361,13.6736917481481,14.7033253908359,15.0397708746786,11.9443610375723,11.8236819777201,17.3064427406009,14.4130963180453,16.3279213693502,12.2574266896924,9.83026578939355,12.5697099092852,12.9424695847227,16.7273500128944,14.6809395601697,20.8977346730931,13.9657448073854,15.0994784629504,16.496138503442,16.0465531714801,12.5236707664807,11.0547741678448,15.119561963073,14.0628800335029,15.7611523108141,16.0873514029455,16.3792810793318,17.0289680955169,15.1619426235195,13.3846475554271,13.6116112880303,13.3920014037179,14.6620819566987,16.2479541999937,14.5031212140979,13.4409329986081,12.4313935404409,15.2496887658813,15.0624371320115,16.8585657606031,17.3719975401949,14.9252179101009,17.940908600133,13.552276550309,12.6162329142653,12.8445641810279,13.2429828822649,15.7893572834413,14.2360987285944,16.2018738752769,16.7354240966282,17.3533845603912,16.1105051564762,12.3531292489998,13.9236612604107,18.3523744771252,14.6870827218897,12.1396244495572,13.2560114194281,12.0713919438595,12.2474473320282,16.2497152478037,13.2276390485343,17.2066126459135,14.1393468368028,19.5478294545473,12.4429395470377,17.0526595185879,12.9832808768162,11.7018273924939,12.1339081803699,13.4084745546165,17.5666884745783,11.0871918193323,11.7929318502254,9.81655516580054,12.2649110479788,14.6976060105906,12.1557974056374,15.0230199301426,15.2086132997809,18.6204646957708,11.1922693377309,9.92186821046035,11.4482911023354,15.0927730804579,13.4243238076317,12.9380728941224,10.6675533172607,16.9494194258872,12.1496220000514,15.8068836565634,11.964611587246,14.8730436766875,11.4928298175665,15.0603458909793,11.574020472554,15.2947584553023,11.2292244795909,12.8035685048052,14.5975495795025,11.3319780529993,13.5971172394578,12.3958403604821,14.9259318548276,14.2319257667674,12.715356999102,11.0393895096789,12.3671361342473,13.0327583739503,18.1206616041584,13.2163758112582,17.7676285605972,13.445739269174,13.9323961809995,15.156856129789,14.3223634848317,13.3017831806674,12.4748260210424,17.3771336665959,13.9365572911861,15.4373216312307,13.9148591313696,12.6469342071179,12.0565545137105,14.8391999584653,13.2583980800635,12.5625997179101,11.6800750056267,13.2182365990296,13.4108879081563,14.4456859698799,16.1153436907364
4,17.7241521348267,720,14.23976949282,22.3232981349428,18.8079844037774,16.7495499336206,19.2391869744546,15.7953541385518,11.2255802813036,28.3736346485859,23.0336514284708,26.8096412149401,24.0671051104549,23.6713115706502,20.5514814372689,20.2548242690533,25.2974497374943,13.128281588548,16.8194726070318,20.9677353861067,17.3195528406928,13.9006246029287,22.1645888221979,17.2712890306114,16.1533974843527,18.6319377616995,16.886993739034,19.144392836654,19.6974271231746,19.6691542838283,21.3000887780987,14.0216712568714,17.6453015556533,22.077420031665,23.5644711550981,16.3580554977795,28.9365357755565,17.7229736624569,17.4190890851478,20.8407828658543,25.2733296551697,19.8424715236758,22.6698558040541,23.0498699515973,24.9974620804767,18.552117510169,18.435347591956,14.7449664200161,16.537548828109,19.5808458133295,21.5457870146945,21.501140939782,16.0816855775741,19.2770567184707,20.4855955348061,25.8828884461812,18.9754195962222,21.8680109084938,28.1993923840537,16.7878058713922,14.4192327567676,16.8560527951288,17.5831813933618,27.7988805031627,22.0749468925842,19.2306853933713,27.8952609310361,22.8917521775649,26.6387828623893,15.7656140048016,25.0785156318073,20.890183884785,19.9827183813372,19.9332297231989,16.6012454530709,29.1836187071693,17.6195305837141,26.0095353783619,24.0989408736296,25.215710563479,23.774448876766,22.4007667213757,28.8982985690607,26.3777860424653,21.8462467541234,22.140078903344,13.9431961441835,19.4213677611808,15.1202440444035,30.0060693066665,22.4417373371213,17.0194916020648,19.7330164390773,20.9270056181506,15.1490557054866,30.8964316485317,24.947377744428,25.5628354236464,18.0405239232556,21.5619688446915,19.5264853333444,19.9480183384564,17.2075562473512,19.4081607725611,13.5407375687261,18.3971294734565,17.4257921975267,14.6185109814374,24.3304360142273,21.0163100982051,20.8241034528002,20.020947686477,29.6704469329912,16.3064162522668,20.8837594499431,17.3428774969509,21.4166866846783,17.4379167158384,23.5825146406685,24.9590295528659,18.9780980857222,15.9086743849784,21.1936313449055,21.4843780776311,18.0024738007507,18.3685987992585,15.0123263125735,19.1240992570037,32.0575551374099,21.3223622150558,30.2348302462353,22.2485801708801,24.4729455169054,22.7357166241129,15.7410373568768,20.587077779331,15.2323618591726,21.6929269802452,20.037683583276,18.9948364432805,20.4825388596838,34.2468905213916,13.9983472308585,20.1461404350466,15.7562092614794,17.0150490304132,20.4906132951379,18.110058553791,15.6491264338128,16.1022784680579,16.1401833117457,25.4906070774287,22.7663367574046,18.5511851370995,26.4709072879147,24.1079585437311,19.261902160997,12.496464887389,24.1307690635942,15.2280189016923,17.1248670225738,12.9389180979419,20.8948752596713,18.8254960307367,22.468244418133,20.5134357890714,17.7012723314555,13.016563048487,19.0845826379799,19.9696912135896,21.2325485580075,17.5575421656711,23.1090825632763,720,21.8924789216954,17.2306735039243,21.4599773195303,14.5104110853655,14.7567437807214,29.7279360786376,17.6665261835462,13.6309812100167,26.4715931849572,24.0154961755208,27.205046202303,12.5398918070999,16.1649313714239,23.2468427350429,24.6639322653085,16.554152853995,15.3122736878437,17.9703614937143,13.1292141416725,17.0778004904211,19.4825614758313,28.5181810005642,16.2080763356285,15.7363468294915,21.611935821272,16.9946197550996
5,23.5736398925182,26.4748446366292,28.2013583952045,33.2964448906071,34.3243490114478,32.5100763653447,19.5196656912423,28.4187630965388,24.7262508014569,27.4576919292057,18.1445979640982,24.7863249161121,17.8063431008153,19.8021160647059,28.6305898413585,23.223060357536,23.2233734697034,34.2330742192012,28.5707579272805,26.9741775067636,28.8816518031065,22.2251076578147,31.4395864278525,29.7324403350265,17.1670535644004,28.6761117011265,37.2464581278626,25.0844798556839,17.8775534268771,31.5395298023956,34.4649717024348,28.821357932652,27.7246255119067,33.6824491166265,39.8120600986406,28.959084450436,46.2066149586526,28.3163388951122,29.6958146652545,28.01208039338,25.8232741251976,23.5098802469278,22.045171378136,44.9667806120297,35.8345204841171,23.918280286684,25.300657887706,28.3745865288254,720,33.4656282194754,28.1151920756254,23.7083697568566,33.7786238063573,29.0071146225849,20.7136168893705,19.9616851056168,24.0977831730695,31.5913324385873,28.0440935750365,26.3982850222421,23.3988278182522,26.9334928362234,36.4307465125517,23.0855720473799,19.8321296420706,31.6661200522099,21.0285936784966,720,29.7343231602751,29.1106953688138,30.953408106189,35.4975816447991,21.8690355720259,29.0757278692312,16.3246947445623,37.494035479464,31.51286606287,32.1048459697488,24.8887473706016,28.1075481728479,16.0037611470924,30.7808531288333,31.4235378136387,720,720,29.8684073953189,32.7017462677373,16.7182553859764,28.2068351971702,33.9809495165335,18.2965287881796,20.9867224427788,36.5316351122156,26.375041532382,23.9891751069482,17.3140416810715,28.8824911984618,39.9189863741222,27.4107818880265,35.9442090437679,30.7176183110627,36.8976996002811,28.9638636780608,33.8366047967297,22.3998545841854,27.6189574301242,24.2889043739847,31.7743124877384,28.1062340657013,25.0151290277687,20.5753778785418,20.9780410821147,34.9811805115012,21.5804998923088,17.0260919777641,20.9739642467032,22.8413812728108,23.8228641176058,27.0892776590131,29.115968733788,26.3170740025324,31.2243449565161,23.7184260478385,28.0255495651249,21.5075639861435,38.443679169021,26.9070374997729,23.739789359665,21.0907572548502,720,25.370547705404,24.3309214828955,27.1167946569692,22.7897096601028,25.4181625300872,22.6010518426636,37.5485175292613,28.6400342716484,30.7900010536927,26.8915750901373,23.281224680133,39.1608949450199,35.337544488207,20.2695323708157,25.1029764407658,26.7017240201872,24.3230321533691,720,26.023503086683,20.3680551247198,37.4105812890801,20.5942751767738,26.8762852371505,18.9193711879547,31.4193738017134,41.0702317977222,25.7834390814624,21.583901100328,18.5153681390859,28.9417690393369,35.4069152985234,720,28.7135094631518,21.4359373648498,39.0492032317582,16.8929712518493,33.3785175784801,19.4781208991083,19.6126822443046,33.4892121445939,27.9782400970265,21.3618608064292,31.2637855277122,22.8245263088915,26.3767185919287,22.7271857443169,12.5630845747744,23.8321806450626,24.7975821658324,26.7324281178645,20.9479907204654,23.2598639102515,25.7649736827007,29.5582436227168,26.9564429662361,21.6038963398364,27.4382583744354,720,720,25.1114121269986,17.05906969655,720,29.6269069188051,30.6149834251373,26.6830939049037,39.0063820808104,28.8834138911985,24.7567516196059,21.6256594478402,20.6160180715949
6,23.0277421748198,22.3321757244922,36.346547416411,48.6150586072301,42.6250340436456,28.836678855248,32.4047385739894,22.7345632748587,42.7407402788802,32.6435086471822,31.483238691045,36.1172267721136,40.4683094030504,47.7949634177931,24.5060449983623,22.4485876900078,35.3927566785031,23.8434497811782,27.7016556621277,18.4711971722549,32.7208186830316,35.2932964948576,38.6881709501074,720,29.0252584560127,720,42.6212270274347,720,33.204696526364,32.5757874838422,720,39.7827048874162,30.1069727735985,720,41.8689092549668,31.9057706661194,26.8927248967647,27.4521143452161,34.6763758240931,37.252364510859,30.7727982072961,26.8689461084264,24.4087204567111,31.7842979418002,32.5582522178701,25.8906485914503,26.853985410899,25.8543650109782,34.4119736859953,29.4071612904693,42.5950889690966,30.2528088793929,25.7332912226465,720,45.3502972716548,38.3810541433738,26.1904167254913,27.8828008901641,38.8909962477473,28.5058863759172,720,720,36.6303857119463,41.4765265089023,29.6255401436184,27.9954928892626,31.0217984434894,36.0767295909547,15.1570895011247,31.1887532809077,51.117090551383,30.5123973734451,43.1430483552228,33.8927248588865,27.3297686942796,720,38.2918119124438,50.9348650730209,34.7571165001502,38.7397719965967,36.0807534314501,33.6276439188365,29.2008158142317,29.0908488884517,34.9483228558121,30.4594372815815,35.9765747908316,39.9599135343185,720,26.4230871968525,19.224921230099,720,30.7927116567,720,39.8506564985254,32.4566178933305,28.3393297705398,42.2223577441273,31.714268185282,29.2480422232468,22.4370848402457,39.4390762943939,24.0679905392196,720,32.250026230595,46.2278460064149,720,32.2078194429757,720,28.8139136772847,40.8354042763462,31.8704347734839,24.0957271139928,720,25.0130995823812,33.8998734627857,34.6953525852286,31.9625915413737,36.8129984387875,25.8265480943728,29.0217695509013,18.916324877902,31.9840041421226,720,720,47.6980901564465,720,33.5883347723592,26.9151430635698,21.7336158268657,720,40.2909958237499,28.6757523666319,34.9943666675598,36.22499305978,35.8871378916297,25.626829986973,26.2432335371315,32.2018556278589,31.0072732311335,30.4444366638748,29.982143752911,35.1833459099383,45.8128728529921,34.4736472073895,41.0538129073696,720,28.0352165223957,47.946247435442,27.8761684192846,28.031993069794,34.0072578313873,38.7558810681041,19.9155531644185,720,720,40.7445876522539,25.8257961029187,27.5669664819768,33.3088774803058,32.1762104038729,32.7090480500949,720,31.5100442891239,39.9798986505577,26.7098664632177,44.3753570552553,38.1956189720596,720,33.0276679009523,37.4296691761929,34.3839372886984,39.3028865968148,22.3425242510237,720,720,37.1264891841346,720,20.5071102217079,720,47.9293075138294,29.8481819619456,35.3632249297042,720,720,40.6725099816089,720,34.2357266689645,720,29.9041530751457,42.4449829885169,41.3148820568303,30.8545185099619,29.874588429084,30.4307904572492,30.2607157918259,23.7177020441759,33.08228577891,27.0369204441292,39.9053702973516
7,720,35.0699960191069,720,720,36.4397504633547,29.3602903315257,30.9731602068261,720,47.1255358205959,46.006876593241,37.4053092011419,43.264359854452,49.1022234744929,33.4232622345193,47.9138130995216,46.364467398304,41.7060721961384,720,720,720,720,40.9169567198749,37.4438995141557,720,30.5921638813932,34.6535743939968,720,26.8359069696165,720,28.9174246721046,47.3684682450627,29.5883691482297,38.9567733129983,33.6763572318556,45.6685882009625,31.6418583516613,40.8291436998519,46.1064238758604,39.841824132333,33.2305035865836,720,720,42.2023080389867,38.0054643272569,40.2780356718415,36.4197348461854,24.8977594169232,32.8817952294479,720,27.8895356519273,48.6395722095624,720,720,41.9216044267832,43.9559501203976,37.8080809044915,42.8287730580254,720,35.359412253208,36.2424297193297,27.3662545812053,720,34.6434385445825,32.5929030351372,44.3637858079061,720,19.8088119432641,39.628271793139,31.5495485835348,720,720,720,38.2437824057692,720,35.114887986951,42.8635487583248,20.2379183205286,720,720,44.2331427529318,720,37.1673562863883,720,720,36.9990517567749,21.2694397970291,46.8582336508011,31.2223966807273,720,720,34.953518619325,33.1339056999708,50.0978850637324,34.5191606174574,38.8171102636853,39.3272143959468,720,44.009039388221,720,39.7368246456971,31.5458791960977,720,42.5737725909015,42.0776119672618,44.0142128321898,40.6317155832911,27.6180593586903,38.4214233695386,41.6280501086545,34.2655042498916,23.6477938072232,36.4562466531067,720,720,720,42.8421500853064,39.418747385934,38.7245572016787,45.8065597042798,46.0348514851856,34.172888616355,45.9059433314352,43.2631624536294,26.4569725066029,720,31.0204702436923,31.4294715165025,34.3930539087964,29.14055900453,720,44.784951300119,38.5706150893238,720,33.6648549144249,42.3275368821996,50.4564658377796,720,46.0048925924547,720,40.3371844642659,37.0385275669607,720,40.9292874172221,32.4445462108951,720,38.4989152599674,36.2962799254943,720,720,41.5684741923897,720,720,42.4070383164368,24.3505431847331,720,720,34.062154562971,35.4728324729104,47.2971266958707,720,720,720,30.0621760904349,27.8289799961826,30.2320177141054,720,34.8426613076413,39.0536945650956,39.4196960963467,35.7801208557047,45.1199126592474,720,720,42.0801858396622,42.5247155631211,31.9057738345571,32.7930040527546,30.3180812784932,29.0920044331537,31.1106600684839,41.2425077894011,41.9006466867675,720,33.4912063783416,30.3589928730975,720,45.4107632452061,720,45.9226516420461,38.0671115185464,35.2161663771739,720,43.7255182643732,36.7855758181082,42.7625400839195,32.0392482372164,40.2237512840915,43.5773977894211,34.1347645747866,34.7691122829541
8,28.5009336329488,43.3236013465004,41.5753562593671,48.3980952036467,40.7585210506579,720,720,720,720,720,39.9368524815414,720,38.4794445190173,720,38.2396378695536,720,720,44.6940235405424,720,720,720,43.9774894311536,720,45.2527588083868,32.1953964046807,720,720,41.3129489770396,56.2974046921346,46.812471330345,720,47.1616809160643,43.8528909491718,51.4114270635206,31.8430664403365,34.8139415850308,720,46.6379092543534,720,41.7900328800856,720,720,45.360385267359,720,720,39.1624179021997,39.2708417724212,720,29.5828086649996,42.3242722262226,720,720,31.0801058343687,720,720,720,720,720,720,54.5366802698488,720,42.1227677271257,720,50.8984284172161,47.9150853410316,42.0672638237964,720,45.3538924380344,720,720,29.6787161933517,720,35.574114205726,720,720,41.3723204975337,720,52.3013632735218,720,30.816090020534,720,720,720,720,720,42.9740202637008,720,45.021833805829,720,50.7439162697231,720,48.6359391252689,35.4499716072583,720,720,720,32.5322315966401,720,720,720,720,720,720,39.0561347187075,720,720,720,720,720,35.1567646115932,720,51.4763807468564,28.4811851075713,720,720,41.010794115376,720,29.2986757876568,42.7153401306653,720,47.1728393307329,50.4693068381342,720,32.642900084494,36.8825294118701,42.8867260882131,37.6838788742362,720,48.6273600676747,54.543193138386,36.7663400950074,45.4638066992563,39.8126697227571,39.0574896007242,720,46.4671363544732,30.5887026459903,48.6100888527989,38.452283337801,720,47.2752512406792,720,25.2618011869967,42.3083651855076,40.588922426138,37.9445957428527,53.0343977995079,43.4235778009424,720,31.9333056795967,720,33.7243478889427,720,720,44.9585172492873,46.2148576897915,45.7724870723569,42.4981678210239,38.5959447171562,47.2886038355715,42.9391847573065,720,720,720,720,52.9667618286715,42.546451875637,720,34.3024695425722,720,720,720,720,720,29.2930110245935,50.1387090548135,720,46.4280890536125,52.8624105584159,720,720,44.8081898652671,44.9009098152915,43.8039888850111,720,34.6139725220148,28.2587546205397,42.9097139911272,45.1319674895843,720,45.545755220485,36.2795564011543,720,720,27.193719013005,37.0603618059534,720,720,720,30.0112344101121
