Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,11,0,0.124,0.4,0.0244
2,Intensity 2,11,0,0.271,0.4,0.00906
3,Intensity 3,11,0,0.419,0.4,0.00414
4,Intensity 4,11,0,0.566,0.4,0.00236
5,Intensity 5,11,0,0.714,0.4,0.00129
6,Intensity 6,11,0,0.861,0.4,0.000793
7,Intensity 7,11,0,1.009,0.4,0.000452
8,Intensity 8,11,0,1.156,0.4,0.00027

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
4,Story Drift Ratio,1,1,0.018988,0.032083,0.012619,0.020298,0.009286,0.017976,0.015833,0.018631,0.013036,0.008393,0.013214
4,Story Drift Ratio,1,2,0.00881,0.016726,0.012321,0.018869,0.011964,0.0125,0.013333,0.0225,0.012679,0.011548,0.009762
4,Story Drift Ratio,2,1,0.031812,0.048116,0.018333,0.03,0.021449,0.027391,0.027971,0.03087,0.024275,0.017174,0.017174
4,Story Drift Ratio,2,2,0.018043,0.022971,0.01942,0.030652,0.021449,0.019783,0.022609,0.031377,0.018043,0.023623,0.018333
4,Story Drift Ratio,3,1,0.033406,0.047391,0.017826,0.027391,0.025072,0.025072,0.027681,0.031594,0.024275,0.02,0.018261
4,Story Drift Ratio,3,2,0.020725,0.031377,0.021449,0.031014,0.022246,0.017899,0.021594,0.030507,0.019203,0.028696,0.022029
4,Acceleration,1,1,0.45,0.68,0.4,0.32,0.79,0.36,0.52,0.61,0.53,0.57,0.46
4,Acceleration,1,2,0.19,0.55,0.37,0.3,0.48,0.34,0.35,0.6,0.44,0.48,0.27
4,Acceleration,2,1,0.7,0.74,0.82,0.47,1.27,0.36,0.7,0.6,0.62,1.22,0.84
4,Acceleration,2,2,0.39,0.98,0.65,0.3,0.63,0.4,0.36,0.99,0.88,0.61,0.45
4,Acceleration,3,1,0.58,0.87,0.84,0.51,0.92,0.42,0.79,0.55,0.56,0.91,1.06
4,Acceleration,3,2,0.35,0.79,0.62,0.34,0.63,0.34,0.33,0.81,0.74,0.54,0.5
4,Acceleration,4,1,0.67,0.65,0.69,0.74,0.89,0.41,0.58,0.55,0.63,0.85,0.81
4,Acceleration,4,2,0.49,0.72,0.52,0.47,0.69,0.39,0.45,0.59,0.64,0.56,0.56
4,Residual Drift,,,0.0050652,0.0062319,0.0022754,0.0037174,0.0031957,0.0038623,0.003587,0.0040942,0.0029855,0.0023913,0.0020797
5,Story Drift Ratio,1,1,0.029107,0.042738,0.016726,0.027321,0.011369,0.0275,0.020357,0.02756,0.013988,0.009821,0.016131
5,Story Drift Ratio,1,2,0.012024,0.020476,0.017798,0.027321,0.017143,0.015893,0.019643,0.037738,0.01381,0.015714,0.010893
5,Story Drift Ratio,2,1,0.047246,0.063043,0.022681,0.03942,0.027609,0.040725,0.036232,0.041739,0.027319,0.019783,0.020072
5,Story Drift Ratio,2,2,0.02,0.027609,0.022899,0.04413,0.028478,0.025362,0.03058,0.052174,0.02087,0.030652,0.020435
5,Story Drift Ratio,3,1,0.050652,0.062319,0.022754,0.037174,0.031957,0.038623,0.03587,0.040942,0.029855,0.023913,0.020797
5,Story Drift Ratio,3,2,0.023478,0.036087,0.026449,0.046667,0.030797,0.023768,0.028986,0.055,0.024565,0.037609,0.025435
5,Acceleration,1,1,0.56,0.86,0.5,0.4,1,0.45,0.66,0.76,0.67,0.72,0.58
5,Acceleration,1,2,0.24,0.69,0.47,0.38,0.61,0.43,0.44,0.75,0.56,0.61,0.35
5,Acceleration,2,1,0.82,0.82,0.97,0.58,1.6,0.45,0.76,0.64,0.81,1.56,0.89
5,Acceleration,2,2,0.49,1.2,0.8,0.38,0.84,0.5,0.46,1.12,1.14,0.77,0.53
5,Acceleration,3,1,0.61,0.87,0.89,0.65,1.05,0.52,0.82,0.54,0.67,1.13,1.13
5,Acceleration,3,2,0.39,1.04,0.85,0.38,0.74,0.43,0.4,0.78,0.85,0.61,0.61
5,Acceleration,4,1,0.69,0.78,0.77,0.89,0.97,0.45,0.6,0.6,0.74,0.91,0.86
5,Acceleration,4,2,0.54,0.82,0.62,0.6,0.82,0.48,0.49,0.6,0.78,0.65,0.62
5,Residual Drift,,,0.0063986,0.0072609,0.002529,0.0047899,0.0041087,0.0056884,0.0042609,0.004913,0.0034565,0.0027391,0.0023333
6,Story Drift Ratio,1,1,0.036131,0.052321,0.017381,0.033512,0.013095,0.042024,0.023631,0.034464,0.014345,0.011607,0.018095
6,Story Drift Ratio,1,2,0.016667,0.024405,0.022976,0.037083,0.022917,0.020476,0.026667,0.061429,0.016905,0.019226,0.01244
6,Story Drift Ratio,2,1,0.057754,0.075362,0.022391,0.047174,0.033986,0.059783,0.042609,0.05029,0.029348,0.021232,0.020507
6,Story Drift Ratio,2,2,0.026087,0.031449,0.031522,0.060435,0.036304,0.032101,0.04,0.087391,0.023406,0.037754,0.02413
6,Story Drift Ratio,3,1,0.063986,0.072609,0.02529,0.047899,0.041087,0.056884,0.042609,0.04913,0.034565,0.027391,0.023333
6,Story Drift Ratio,3,2,0.027536,0.039855,0.037391,0.063913,0.041232,0.031232,0.038043,0.08442,0.02971,0.046739,0.03029
6,Acceleration,1,1,0.68,1.04,0.6,0.48,1.21,0.55,0.79,0.92,0.81,0.86,0.7
6,Acceleration,1,2,0.29,0.83,0.56,0.45,0.74,0.52,0.54,0.91,0.67,0.73,0.42
6,Acceleration,2,1,0.91,1.01,1.09,0.66,1.82,0.52,0.86,0.83,1,1.84,1
