#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
0,1722476.9628003885,435.8410751860153,1292.504957694575,0.0,0.0
1,2832721.4779149494,750.2538593740959,2117.8045431811342,0.0,0.0
2,2782856.8570364914,1146.4271112179408,2421.002356229349,0.0,0.0
3,2625597.265365609,541.4646866471902,1431.441868184354,0.0,0.0
4,20000291.064502485,719.990926839826,719.990926839826,0.0,1.0
5,2250716.047730395,498.2269524967474,1448.6200166943042,0.0,0.0
6,2610662.667545461,621.3464491007769,1708.5249051374572,0.0,0.0
7,2031794.0378205916,513.4087680648666,1408.4551877107838,0.0,0.0
8,19999708.812823106,719.989448275768,719.989448275768,0.0,1.0
9,2706730.255490652,703.6627627021128,1691.9869105496764,0.0,0.0
10,2347369.815142208,608.5600228428506,1609.2574349733172,0.0,0.0
11,2654133.9198926687,685.3593053377405,1839.0155616000895,0.0,0.0
12,1649952.7813605308,627.3288674143847,1515.802988490889,0.0,0.0
13,2330605.8075638628,521.3646269828354,1335.0070031265782,0.0,0.0
14,3343446.987318477,832.7737706713151,2189.094916122473,0.0,0.0
15,2371094.5208996153,579.9912377307712,1501.3822857906503,0.0,0.0
16,2438385.07607478,622.4031290092626,1727.7776715152918,0.0,0.0
17,3224369.641524996,731.7526185386521,2092.0855093797095,0.0,0.0
18,3351270.210987419,810.8071693013973,2264.6476197859456,0.0,0.0
19,1930165.962143208,441.2556225001319,1267.6229167316003,0.0,0.0
20,2768270.242656526,643.0594773358649,1801.9191026809315,0.0,0.0
21,20000066.527198486,720.0023039959424,720.0023039959424,1.0,0.0
22,3125017.163127618,723.3007170574272,2034.249678589567,0.0,0.0
23,3148099.2154620225,709.8709795591982,1950.6367865357574,0.0,0.0
24,3376447.891937737,833.1723179188673,2273.7684197992116,0.0,0.0
25,20000073.148081426,720.008580744102,720.008580744102,1.0,0.0
26,1949928.0688583953,458.61670325804886,1201.0230868034782,0.0,0.0
27,3056910.56777646,973.6588008125836,2343.955118746586,0.0,0.0
28,20000230.474204145,720.00004403299,720.00004403299,1.0,0.0
29,19999832.807099152,719.9878903664912,719.9878903664912,1.0,0.0
30,2488425.4710591487,1929.5128545477169,3347.85098805491,0.0,0.0
31,3239039.428051091,695.2516790800515,2120.632889931004,0.0,0.0
32,2314338.6298142597,552.1291736156926,1585.5408361672955,0.0,0.0
33,3550554.4833298014,946.496458047144,2427.962795558156,0.0,0.0
34,1904298.2781166767,1580.9758560956823,3053.306177436572,0.0,0.0
35,2928134.198452225,773.8840647911499,2053.2792471126327,0.0,0.0
36,2831595.3556815055,463.68120028847994,1272.609191280707,0.0,0.0
37,2006435.8955825735,597.9903395913002,1587.9523086872316,0.0,0.0
38,19999809.989011224,720.0030274734389,720.0030274734389,0.0,1.0
